id, author, year
1984, George Orwell ,1949
1,Do Androids Dream of Electric Sheep,  Philip K. Dick ,1968
2,Aesop's Fables , Aesop ,-560
3,And Then There Were None, Agatha Christie ,1939
4,Murder at the Vicarage , Agatha Christie ,1930
5,Murder on the Orient Express , Agatha Christie ,1934
6,Sleeping Murder, Agatha Christie ,1976
7,The Murder of Roger Ackroyd , Agatha Christie ,1926
8,The Mysterious Affair at Styles , Agatha Christie ,1920
9,The Plague , Albert Camus ,1947
10,The Count of Monte Cristo , Alexandre Dumas ,1844
11,The Three Musketeers , Alexandre Dumas ,1844
12,The Color Purple , Alice Walker ,1982
13,Black Beauty , Anne Sewell ,1877
14,Go Ask Alice , Anonymous ,1971
15,A Clockwork Orange , Anthony Burgess ,1962
16,The Crucible , Arther Miller ,1953
17,2001: A Space Odyssey , Arthur C. Clarke ,1968
18,Childhood's End , Arthur C. Clarke ,1953
19,Rendezvous with Rama , Arthur C. Clarke ,1973
20,A Study in Scarlet , Arthur Conan Doyle ,1887
21,The Hound of the Baskervilles , Arthur Conan Doyle ,1902
22,Death of a Salesman , Arthur Miller ,1949
23,Pippy Longstocking , Astrid Lindgren ,1945
24,Anthem , Ayn Rand ,1938
25,Atlas Shrugged , Ayn Rand ,1957
26,The Fountainhead , Ayn Rand ,1943
27,A Tree Grows in Brooklyn , Betty Smith ,1943
28,Mere Christianity , C.S. Lewis ,1952
29,The Magician's Nephew , C.S. Lewis ,1955
30,The Screwtape Letters , C.S. Lewis ,1942
31,Contact , Carl Sagan ,1985
32,A Tale of Two Cities , Charles Dickens ,1859
33,David Copperfield , Charles Dickens ,1849
34,Oliver Twist , Charles Dickens ,1838
35,Things Fall Apart , Chinua Achebe ,1958
36,The Thorn Birds , Colleen McCullough ,1977
37,The Hiding Place , Corrie Boom ,1971
38,Harold and the Purple Crayon , Crockett Johnson ,1955
39,How to Win Friends and Influence People , Dale Carnegie ,1936
40,Robinson Crusoe , Daniel Defoe ,1719
41,Flowers for Algernon , Daniel Keyes ,1959
42,Inferno , Dante Alighieri ,1320
43,Rebecca , Daphne du Maurier ,1938
